SLURM_JOB_ID,SLURM_JOB_NAME,SLURM_JOB_NUM_NODES,SLURM_NTASKS,SLURM_CPU_FREQ_REQ,OMP_NUM_THREADS,PROG,QREG_SIZE,INIT,MAX_DIM,CUTOFF,DEPTH,RUNTIME,ENERGY
2650748,quest-energy,1,1,NA,1,bench,12,|0..0>,16,1e-16,13,0.7745359999999999,673
2650782,quest-energy,1,1,NA,1,bench,24,|0..0>,1024,1e-16,25,845.508,208570
2650783,quest-energy,1,1,NA,1,bench,24,|0..0>,256,1e-16,25,47.5533,12580
2650784,quest-energy,1,1,NA,1,bench,24,|0..0>,16777216,1e-16,25,1563.18,379340
2650785,quest-energy,1,1,NA,1,qft,24,|0..0>,16777216,1e-16,25,1.13103,480
2650786,quest-energy,1,1,NA,1,qft,24,|Wn>,16777216,1e-16,25,1.35874,548
2650903,quest-energy,1,1,NA,1,bench,26,|0..0>,256,1e-16,27,68.7177,17140
2650904,quest-energy,1,1,NA,1,qft,26,|0..0>,16777216,1e-16,27,1.3844,530
2650905,quest-energy,1,1,NA,1,qft,26,|Wn>,16777216,1e-16,27,1.71376,621
2650906,quest-energy,1,1,NA,1,bench,28,|0..0>,256,1e-16,29,94.23230000000001,25920
2650907,quest-energy,1,1,NA,1,qft,28,|0..0>,16777216,1e-16,29,1.6709100000000001,607
2650908,quest-energy,1,1,NA,1,qft,28,|Wn>,16777216,1e-16,29,2.09714,670
2650909,quest-energy,1,1,NA,1,bench,30,|0..0>,256,1e-16,31,123.518,31140
2650910,quest-energy,1,1,NA,1,qft,30,|0..0>,16777216,1e-16,31,1.96647,649
2650911,quest-energy,1,1,NA,1,qft,30,|Wn>,16777216,1e-16,31,2.44719,851
2650912,quest-energy,1,1,NA,1,bench,32,|0..0>,256,1e-16,33,157.958,40530
2650913,quest-energy,1,1,NA,1,qft,32,|0..0>,16777216,1e-16,33,2.29754,724
2650914,quest-energy,1,1,NA,1,qft,32,|Wn>,16777216,1e-16,33,2.87897,843
2651062,quest-energy,1,1,NA,1,bench,34,|0..0>,256,1e-16,35,193.612,57920
2651063,quest-energy,1,1,NA,1,qft,34,|0..0>,16777216,1e-16,35,2.7022399999999998,878
2651064,quest-energy,1,1,NA,1,qft,34,|Wn>,16777216,1e-16,35,3.9550500000000004,1240
2651065,quest-energy,1,1,NA,1,bench,36,|0..0>,256,1e-16,37,236.021,72610
2651066,quest-energy,1,1,NA,1,qft,36,|0..0>,16777216,1e-16,37,3.2304899999999996,1120
2651067,quest-energy,1,1,NA,1,qft,36,|Wn>,16777216,1e-16,37,5.52928,1610
2651068,quest-energy,1,1,NA,1,bench,38,|0..0>,256,1e-16,39,279.868,80810
2651069,quest-energy,1,1,NA,1,qft,38,|0..0>,16777216,1e-16,39,3.67702,1060
2651070,quest-energy,1,1,NA,1,qft,38,|Wn>,16777216,1e-16,39,7.41014,2080
2651071,quest-energy,1,1,NA,1,bench,40,|0..0>,256,1e-16,41,332.627,93580
2651072,quest-energy,1,1,NA,1,qft,40,|0..0>,16777216,1e-16,41,4.41301,1280
2651073,quest-energy,1,1,NA,1,qft,40,|Wn>,16777216,1e-16,41,10.517299999999999,2540
2651610,quest-energy,1,1,NA,1,bench,42,|0..0>,256,1e-16,43,402.321,124050
2651611,quest-energy,1,1,NA,1,qft,42,|0..0>,16777216,1e-16,43,4.72711,1350
2651612,quest-energy,1,1,NA,1,qft,42,|Wn>,16777216,1e-16,43,13.9461,3470
2651613,quest-energy,1,1,NA,1,bench,44,|0..0>,256,1e-16,45,443.38,126170
2651614,quest-energy,1,1,NA,1,qft,44,|0..0>,16777216,1e-16,45,5.73297,1670
2651615,quest-energy,1,1,NA,1,qft,44,|Wn>,16777216,1e-16,45,18.0325,4530
2651616,quest-energy,1,1,NA,1,bench,46,|0..0>,256,1e-16,47,502.356,149490
2651617,quest-energy,1,1,NA,1,qft,46,|0..0>,16777216,1e-16,47,6.3636099999999995,1700
2651618,quest-energy,1,1,NA,1,qft,46,|Wn>,16777216,1e-16,47,23.087,5530
2651619,quest-energy,1,1,NA,1,bench,48,|0..0>,256,1e-16,49,573.018,172720
2651620,quest-energy,1,1,NA,1,qft,48,|0..0>,16777216,1e-16,49,7.198300000000001,2090
2651621,quest-energy,1,1,NA,1,qft,48,|Wn>,16777216,1e-16,49,28.961299999999998,7470
2651622,quest-energy,1,1,NA,1,bench,50,|0..0>,256,1e-16,51,650.325,205200
2651623,quest-energy,1,1,NA,1,qft,50,|0..0>,16777216,1e-16,51,7.75242,1910
2651624,quest-energy,1,1,NA,1,qft,50,|Wn>,16777216,1e-16,51,36.582,8740
2651652,quest-energy,1,1,NA,1,bench,52,|0..0>,256,1e-16,53,713.854,220620
2651653,quest-energy,1,1,NA,1,qft,52,|0..0>,16777216,1e-16,53,9.426870000000001,2410
2651654,quest-energy,1,1,NA,1,qft,52,|Wn>,16777216,1e-16,53,45.6345,11640
2651655,quest-energy,1,1,NA,1,bench,54,|0..0>,256,1e-16,55,794.648,269100
2651656,quest-energy,1,1,NA,1,qft,54,|0..0>,16777216,1e-16,55,10.1601,2800
2651657,quest-energy,1,1,NA,1,qft,54,|Wn>,16777216,1e-16,55,56.369099999999996,13620
2651658,quest-energy,1,1,NA,1,bench,56,|0..0>,256,1e-16,57,886.571,291100
2651659,quest-energy,1,1,NA,1,qft,56,|0..0>,16777216,1e-16,57,11.736600000000001,2720
2651660,quest-energy,1,1,NA,1,qft,56,|Wn>,16777216,1e-16,57,69.1145,17390
2651661,quest-energy,1,1,NA,1,bench,58,|0..0>,256,1e-16,59,962.006,303530
2651662,quest-energy,1,1,NA,1,qft,58,|0..0>,16777216,1e-16,59,12.8031,3350
2651663,quest-energy,1,1,NA,1,qft,58,|Wn>,16777216,1e-16,59,89.0855,21630
2651664,quest-energy,1,1,NA,1,bench,60,|0..0>,256,1e-16,61,1059.99,382820
2651665,quest-energy,1,1,NA,1,qft,60,|0..0>,16777216,1e-16,61,13.8355,3500
2651666,quest-energy,1,1,NA,1,qft,60,|Wn>,16777216,1e-16,61,106.931,24800
2651754,quest-energy,1,1,NA,1,bench,62,|0..0>,256,1e-16,63,1154.63,393440
2651755,quest-energy,1,1,NA,1,qft,62,|0..0>,16777216,1e-16,63,15.082799999999999,3800
2651756,quest-energy,1,1,NA,1,qft,62,|Wn>,16777216,1e-16,63,136.141,33720
2651757,quest-energy,1,1,NA,1,bench,64,|0..0>,256,1e-16,65,1274.88,447260
2651758,quest-energy,1,1,NA,1,qft,64,|0..0>,16777216,1e-16,65,17.0943,4420
2651759,quest-energy,1,1,NA,1,qft,64,|Wn>,16777216,1e-16,65,165.921,40360
2651760,quest-energy,1,1,NA,1,bench,66,|0..0>,256,1e-16,67,1358.58,454060
2651761,quest-energy,1,1,NA,1,qft,66,|0..0>,16777216,1e-16,67,18.1829,4430
2651762,quest-energy,1,1,NA,1,qft,66,|Wn>,16777216,1e-16,67,184.707,44620
2651763,quest-energy,1,1,NA,1,bench,68,|0..0>,256,1e-16,69,1474.95,511090
2651764,quest-energy,1,1,NA,1,qft,68,|0..0>,16777216,1e-16,69,20.357599999999998,5090
2651765,quest-energy,1,1,NA,1,qft,68,|Wn>,16777216,1e-16,69,231.379,56220
2651766,quest-energy,1,1,NA,1,bench,70,|0..0>,256,1e-16,71,1579.34,506360
2651767,quest-energy,1,1,NA,1,qft,70,|0..0>,16777216,1e-16,71,20.2306,4930
2651768,quest-energy,1,1,NA,1,qft,70,|Wn>,16777216,1e-16,71,288.459,69720
2651771,quest-energy,1,1,NA,1,qft,72,|0..0>,16777216,1e-16,73,24.923099999999998,6400
2651772,quest-energy,1,1,NA,1,qft,72,|Wn>,16777216,1e-16,73,346.768,86960
2651773,quest-energy,1,1,NA,1,qft,74,|0..0>,16777216,1e-16,75,26.342599999999997,6520
2651774,quest-energy,1,1,NA,1,qft,74,|Wn>,16777216,1e-16,75,456.392,109730
2651775,quest-energy,1,1,NA,1,qft,76,|0..0>,16777216,1e-16,77,27.8842,6910
2651776,quest-energy,1,1,NA,1,qft,76,|Wn>,16777216,1e-16,77,596.46,150470
2651777,quest-energy,1,1,NA,1,qft,78,|0..0>,16777216,1e-16,79,30.179599999999997,7650
2651778,quest-energy,1,1,NA,1,qft,78,|Wn>,16777216,1e-16,79,627.008,151430
2651779,quest-energy,1,1,NA,1,qft,80,|0..0>,16777216,1e-16,81,32.779900000000005,8300
2651780,quest-energy,1,1,NA,1,qft,80,|Wn>,16777216,1e-16,81,817.609,198300
2651781,quest-energy,1,1,NA,1,qft,82,|0..0>,16777216,1e-16,83,35.4657,8920
2651782,quest-energy,1,1,NA,1,qft,82,|Wn>,16777216,1e-16,83,862.174,194590
2651783,quest-energy,1,1,NA,1,qft,84,|0..0>,16777216,1e-16,85,37.6578,9220
2651784,quest-energy,1,1,NA,1,qft,84,|Wn>,16777216,1e-16,85,952.616,230260
2651785,quest-energy,1,1,NA,1,qft,86,|0..0>,16777216,1e-16,87,41.5599,10110
2651786,quest-energy,1,1,NA,1,qft,86,|Wn>,16777216,1e-16,87,1050.53,250290
2651787,quest-energy,1,1,NA,1,qft,88,|0..0>,16777216,1e-16,89,40.099199999999996,10470
2651788,quest-energy,1,1,NA,1,qft,88,|Wn>,16777216,1e-16,89,1197.19,287880
2651789,quest-energy,1,1,NA,1,qft,90,|0..0>,16777216,1e-16,91,46.652300000000004,11610
2651790,quest-energy,1,1,NA,1,qft,90,|Wn>,16777216,1e-16,91,1371.38,324020
